,Project.Name,Address,Transacted Price,Price (psf),Date,Completion Year,Type.of.Sale,Postal.District,year,Level,TenureType_Ind,maxLevel,Nearest Sch,Distance_Sch,Nearest Stn,Distance_Stn,Avg area sqf,Dist_Sch_Label
2585,MICHAELS' RESIDENCES,29 ALMOND STREET,3100000,1387,2021-08-26,2015,Resale,23,2021,1,99-yr,1,WEST SPRING PRIMARY SCHOOL,2.184268838,CASHEW MRT STATION,0.966701174,2234.61,3
2586,WESTVILLE,41 WESTWOOD WALK,1720000,795,2021-08-26,1998,Resale,22,2021,1,99-yr,1,WESTWOOD PRIMARY SCHOOL,0.579903935,PIONEER MRT STATION,1.632383851,2163.56,1
2587,COASTAL VILLAS,523 UPPER EAST COAST ROAD,4250000,1033,2021-08-27,1986,Resale,16,2021,1,Freehold,1,TEMASEK PRIMARY SCHOOL,0.208530601,BAYSHORE MRT STATION,0.419673536,4114.0,1
2588,N.A.,22 JALAN KELAWAR,11880000,2426,2021-08-27,2021,Resale,10,2021,1,Freehold,188,ANGLO-CHINESE SCHOOL (JUNIOR),1.852217304,ORCHARD BOULEVARD MRT STATION,0.329955876,4896.54,2
2589,THE WHITLEY RESIDENCES,137E WHITLEY ROAD,4750000,847,2021-08-27,2016,Resale,11,2021,1,Freehold,1,ANGLO-CHINESE SCHOOL (PRIMARY),0.81503562,MOUNT PLEASANT MRT STATION,0.393830664,5608.04,1
2590,N.A.,17 LORONG SELANGAT,6520000,1420,2021-08-27,2021,Resale,13,2021,1,Freehold,188,MARIS STELLA HIGH SCHOOL,1.175618756,SERANGOON MRT STATION,0.727153552,4593.0,2
2591,N.A.,12 BARKER ROAD,9200000,1806,2021-08-28,2021,Resale,11,2021,1,Freehold,188,ANGLO-CHINESE SCHOOL (PRIMARY),0.223108376,NEWTON MRT STATION,0.799462185,5093.52,1
2592,NANYANG PARK,1 JALAN LIMBOK,4680000,1553,2021-08-30,2015,Resale,19,2021,1,999-yr,1,ROSYTH SCHOOL,0.987831877,KOVAN MRT STATION,1.264579243,3013.92,1
2593,SELETAR HILLS ESTATE,53 NERAM ROAD,4500000,934,2021-08-31,2020,Resale,28,2021,1,999-yr,1,SENGKANG GREEN PRIMARY SCHOOL,1.03775721,YIO CHU KANG MRT STATION,2.652771638,4815.81,2
2594,N.A.,30C ST. PATRICK'S ROAD,5100000,2144,2021-08-31,2021,Resale,15,2021,1,Freehold,188,TAO NAN SCHOOL,0.362945161,MARINE TERRACE MRT STATION,0.245329818,2378.84,1
2595,MICHAELS' RESIDENCES,54 ALMOND STREET,3500000,1327,2021-09-01,2015,Resale,23,2021,1,99-yr,1,WEST SPRING PRIMARY SCHOOL,2.277757859,CASHEW MRT STATION,1.001070722,2638.26,3
2596,SELETAR HILLS ESTATE,14 JALAN LEBAT DAUN,3528888,1037,2021-09-01,2020,Resale,28,2021,1,999-yr,1,SENGKANG GREEN PRIMARY SCHOOL,1.205440158,ANG MO KIO MRT STATION,2.654215028,3402.5,2
2597,CHENG SOON GARDEN,41 KISMIS AVENUE,4908000,1227,2021-09-01,1991,Resale,21,2021,1,Freehold,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.486495948,BEAUTY WORLD MRT STATION,0.72035506,3999.9,1
2598,N.A.,13 SPRINGLEAF ROAD,4050000,1246,2021-09-01,2021,Resale,26,2021,1,Freehold,188,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,3.095307354,SPRINGLEAF MRT STATION,0.18141442,3250.73,3
2599,SERANGOON GARDEN ESTATE,30 BORTHWICK DRIVE,4580000,1636,2021-09-01,2022,Resale,19,2021,1,999-yr,1,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.55368102,LORONG CHUAN MRT STATION,1.081537351,2799.72,2
2600,SELETAR HILLS ESTATE,5 JALAN LEBAT DAUN,4600000,1352,2021-09-01,2020,Resale,28,2021,1,999-yr,1,SENGKANG GREEN PRIMARY SCHOOL,1.270441195,ANG MO KIO MRT STATION,2.589415638,3401.42,2
2601,N.A.,57 JALAN SENANG,4630000,1576,2021-09-02,2021,Resale,14,2021,1,Freehold,188,MAHA BODHI SCHOOL,1.676422215,KEMBANGAN MRT STATION,0.597501743,2938.57,2
2602,KINGSFORD WATERBAY,82 UPPER SERANGOON VIEW,2200000,1381,2021-09-03,2018,Resale,19,2021,1,99-yr,16,CHIJ OUR LADY OF THE NATIVITY,0.799036822,HOUGANG MRT STATION,1.420142643,1593.07,1
2603,POETS VILLAS,192 TAGORE AVENUE,2260000,662,2021-09-03,2014,Resale,26,2021,1,99-yr,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,1.088978474,LENTOR MRT STATION,0.895900556,3412.19,2
2604,CHARLTON PARK,101 AROOZOO AVENUE,4999000,1388,2021-09-03,1985,Resale,19,2021,1,Freehold,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.706966496,KOVAN MRT STATION,0.489273612,3601.63,1
2605,SERANGOON GARDEN ESTATE,7 BRAEMAR DRIVE,4450000,1589,2021-09-03,2022,Resale,19,2021,1,999-yr,1,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.456656583,LORONG CHUAN MRT STATION,0.929700928,2799.72,2
2606,N.A.,6A EATON PLACE,3550000,1105,2021-09-03,2021,Resale,19,2021,1,Freehold,188,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.275855978,KOVAN MRT STATION,0.846530395,3211.98,2
2607,N.A.,22 ELLIOT WALK,6000000,1365,2021-09-06,2021,Resale,15,2021,1,Freehold,188,TEMASEK PRIMARY SCHOOL,1.767338854,SIGLAP MRT STATION,0.163313442,4396.02,2
2608,N.A.,108 JOO CHIAT PLACE,4180000,1998,2021-09-06,2021,Resale,15,2021,1,Freehold,188,TAO NAN SCHOOL,1.310193583,EUNOS MRT STATION,0.68366937,2092.52,2
2609,LUXUS HILLS,31 LUXUS HILL AVENUE,4360000,1940,2021-09-06,2020,Resale,28,2021,1,999-yr,1,ROSYTH SCHOOL,0.879976189,BUANGKOK MRT STATION,2.292943606,2247.52,1
2610,HIGHLAND COTTAGES,24 HIGHLAND WALK,4000000,1236,2021-09-06,1989,Resale,19,2021,1,Freehold,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.286466481,KOVAN MRT STATION,0.623365641,3236.73,2
2611,ST ANNE'S WOOD,7 ST. ANNE'S WOOD,3200000,1483,2021-09-07,1996,Resale,19,2021,1,999-yr,1,MEE TOH SCHOOL,0.729443265,SENGKANG MRT STATION,0.834998129,2158.18,1
2612,N.A.,321A BEDOK ROAD,5688888,1690,2021-09-07,2021,Resale,16,2021,1,Freehold,188,TEMASEK PRIMARY SCHOOL,1.403775037,TANAH MERAH MRT STATION,0.382425223,3365.9,2
2613,SENNETT ESTATE,34A PHENG GECK AVENUE,4308888,1523,2021-09-07,2016,Resale,13,2021,1,Freehold,1,MARIS STELLA HIGH SCHOOL,1.455264464,POTONG PASIR MRT STATION,0.132865882,2828.78,2
2614,MICHAELS' RESIDENCES,35 ALMOND STREET,3170000,1423,2021-09-08,2015,Resale,23,2021,1,99-yr,1,WEST SPRING PRIMARY SCHOOL,2.20974011,CASHEW MRT STATION,0.975165435,2228.15,3
2615,SELETAR HILLS ESTATE,102 SELETAR HILLS DRIVE,4280000,792,2021-09-08,2020,Resale,28,2021,1,999-yr,1,SENGKANG GREEN PRIMARY SCHOOL,0.708762918,BUANGKOK MRT STATION,2.321487453,5405.68,1
2616,SELETAR HILLS ESTATE,26 JALAN BANGAU,3950000,1219,2021-09-08,2020,Resale,28,2021,1,999-yr,1,SENGKANG GREEN PRIMARY SCHOOL,1.041303608,BUANGKOK MRT STATION,2.368789617,3241.04,2
2617,KINGSVILLE,16 KING'S DRIVE,3298000,1362,2021-09-08,1999,Resale,10,2021,1,99-yr,1,NANYANG PRIMARY SCHOOL,0.189312089,FARRER ROAD MRT STATION,0.228601076,2421.9,1
2618,PRINCETON VALE,15 POH HUAT TERRACE,2500000,1093,2021-09-08,2001,Resale,19,2021,1,99-yr,1,XINMIN PRIMARY SCHOOL,0.639744678,KOVAN MRT STATION,1.024791092,2286.27,1
2619,SERANGOON PARK,233 WOLSKEL ROAD,5800000,1290,2021-09-08,2012,Resale,13,2021,1,Freehold,1,MARIS STELLA HIGH SCHOOL,1.242307107,SERANGOON MRT STATION,0.676977495,4497.2,2
2620,UNIQUE GARDEN,62 TOH YI DRIVE,2250000,597,2021-09-08,1975,Resale,21,2021,1,99-yr,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.581479455,BEAUTY WORLD MRT STATION,0.640666908,3771.71,1
2621,THE WHITLEY RESIDENCES,131G WHITLEY ROAD,4600000,814,2021-09-08,2016,Resale,11,2021,1,Freehold,1,CHIJ PRIMARY (TOA PAYOH),0.814077233,MOUNT PLEASANT MRT STATION,0.38973195,5651.1,1
2622,N.A.,47 POOLE ROAD,6035000,1567,2021-09-08,2021,Resale,15,2021,1,Freehold,188,KONG HWA SCHOOL,0.542970057,DAKOTA MRT STATION,0.304377504,3850.28,1
2623,EAST COAST HILL,1 SENNETT AVENUE,5980000,1512,2021-09-09,2011,Resale,16,2021,1,Freehold,1,TEMASEK PRIMARY SCHOOL,1.141563139,BAYSHORE MRT STATION,0.880480582,3954.69,2
2624,OPERA ESTATE,119 FIDELIO STREET,6680000,1828,2021-09-09,2022,Resale,15,2021,1,Freehold,1,TAO NAN SCHOOL,1.916232693,BEDOK MRT STATION,1.032354259,3654.38,2
2625,SELETAR HILLS ESTATE,5 JALAN PELAJAU,4160000,1354,2021-09-09,2020,Resale,28,2021,1,999-yr,1,SENGKANG GREEN PRIMARY SCHOOL,0.90231969,BUANGKOK MRT STATION,2.445220241,3072.05,1
2626,KIM LIN PARK,56A JALAN ARNAP,8100000,3115,2021-09-09,2008,Resale,10,2021,1,Freehold,1,ANGLO-CHINESE SCHOOL (JUNIOR),1.911637282,ORCHARD BOULEVARD MRT STATION,0.331794073,2600.58,2
2627,BEDOKVILLE,41 JALAN LIMAU PURUT,3750000,1062,2021-09-09,2020,Resale,16,2021,1,999-yr,1,TEMASEK PRIMARY SCHOOL,0.699654643,TANAH MERAH MRT STATION,0.431675674,3530.59,1
2628,SPRING PARK ESTATE,43 JALAN REMIS,6380000,1703,2021-09-09,2011,Resale,16,2021,1,Freehold,1,TEMASEK PRIMARY SCHOOL,0.963984825,BAYSHORE MRT STATION,0.664655606,3746.95,1
2629,N.A.,5 ZEHNDER ROAD,5200000,1568,2021-09-09,2021,Resale,5,2021,1,Freehold,188,FAIRFIELD METHODIST SCHOOL (PRIMARY),2.024433921,HAW PAR VILLA MRT STATION,0.517700679,3315.31,3
2630,FRANKEL ESTATE,40 DUNBAR WALK,5300000,1264,2021-09-09,2021,Resale,15,2021,1,Freehold,1,TAO NAN SCHOOL,1.168688559,KEMBANGAN MRT STATION,0.767773474,4192.58,2
2631,SEMBAWANG HILLS ESTATE,7 SERAYA CRESCENT,3650000,1539,2021-09-10,2021,Resale,20,2021,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.730697239,MAYFLOWER MRT STATION,0.99692053,2371.31,1
2632,GRACE PARK,14 GRACE PARK,3880000,1792,2021-09-10,2009,Resale,19,2021,1,Freehold,1,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.817248714,SERANGOON MRT STATION,0.826158332,2165.72,2
2633,CENTURION RESIDENCES,5C PUAY HEE AVENUE,2600000,767,2021-09-10,2010,Resale,13,2021,1,Freehold,1,MARIS STELLA HIGH SCHOOL,1.65297022,POTONG PASIR MRT STATION,0.205560426,3390.66,2
2634,N.A.,60 JALAN REMAJA,3930000,1186,2021-09-10,2021,Resale,23,2021,1,999-yr,188,SAINT ANTHONY'S PRIMARY SCHOOL,1.200398302,BUKIT GOMBAK MRT STATION,0.777542381,3314.24,2
2635,N.A.,6 AROOZOO AVENUE,4000000,1109,2021-09-10,2021,Resale,19,2021,1,Freehold,188,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.679147747,KOVAN MRT STATION,0.745042685,3607.02,1
2636,PARRY PARK,30 PARRY VIEW,4880000,1250,2021-09-10,1991,Resale,19,2021,1,999-yr,1,XINMIN PRIMARY SCHOOL,0.643285081,KOVAN MRT STATION,0.927635149,3905.18,1
2637,MICHAELS' RESIDENCES,41 ALMOND STREET,3080000,1378,2021-09-10,2015,Resale,23,2021,1,99-yr,1,WEST SPRING PRIMARY SCHOOL,2.231779851,CASHEW MRT STATION,0.983054272,2235.68,3
2638,SEMBAWANG PARK,69 JALAN LENGKOK SEMBAWANG,4250000,1192,2021-09-13,2007,Resale,27,2021,1,Freehold,1,CHONGFU SCHOOL,1.824283733,YISHUN MRT STATION,0.977947607,3565.04,2
2639,N.A.,129 SENNETT AVENUE,5200000,894,2021-09-13,2021,Resale,16,2021,1,Freehold,188,TEMASEK PRIMARY SCHOOL,0.633498634,BAYSHORE MRT STATION,0.762141213,5816.87,1
2640,N.A.,28 ENG KONG GARDEN,4450000,1351,2021-09-13,2021,Resale,21,2021,1,Freehold,188,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.790296192,BEAUTY WORLD MRT STATION,0.978144524,3293.78,1
2641,N.A.,3 GREENWOOD AVENUE,6600000,2553,2021-09-15,2021,Resale,11,2021,1,Freehold,188,RAFFLES GIRLS' PRIMARY SCHOOL,0.154452523,TAN KAH KEE MRT STATION,0.5319403,2585.51,1
2642,N.A.,39 JALAN KELAWAR,9425000,2506,2021-09-15,2021,Resale,10,2021,1,Freehold,188,ANGLO-CHINESE SCHOOL (JUNIOR),1.7853481,ORCHARD BOULEVARD MRT STATION,0.435537946,3760.94,2
2643,THE HILLOFT,131D JALAN DERMAWAN,2680000,463,2021-09-15,2011,Resale,23,2021,1,999-yr,1,SAINT ANTHONY'S PRIMARY SCHOOL,1.052601807,BUKIT GOMBAK MRT STATION,0.618630363,5791.03,2
2644,WATTEN RESIDENCES,26 WATTEN RISE,4390000,910,2021-09-15,2011,Resale,11,2021,1,Freehold,1,RAFFLES GIRLS' PRIMARY SCHOOL,0.231795572,TAN KAH KEE MRT STATION,0.304708968,4822.27,1
2645,N.A.,426 TANJONG KATONG ROAD,7200000,1691,2021-09-16,2021,Resale,15,2021,1,Freehold,188,KONG HWA SCHOOL,1.51298752,TANJONG KATONG MRT STATION,0.1254101,4258.24,2
2646,HOCK SWEE HILL,75 BEGONIA DRIVE,4750000,891,2021-09-16,2019,Resale,28,2021,1,Freehold,1,SENGKANG GREEN PRIMARY SCHOOL,1.586421307,YIO CHU KANG MRT STATION,2.00032195,5332.49,2
2647,SERANGOON GARDEN ESTATE,81 CROWHURST DRIVE,6960000,1661,2021-09-16,2022,Resale,19,2021,1,999-yr,1,ROSYTH SCHOOL,1.76691893,LORONG CHUAN MRT STATION,1.417536972,4190.43,2
2648,HILLSGROVE,5D HILLSIDE DRIVE,2750000,605,2021-09-16,2013,Resale,19,2021,1,999-yr,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.955457083,KOVAN MRT STATION,0.852156915,4542.41,1
2649,WOODLANDS PARK,103 JALAN BUMBONG,3300000,926,2021-09-16,2010,Resale,25,2021,1,Freehold,1,WEST SPRING PRIMARY SCHOOL,3.139430705,KRANJI MRT STATION,0.895005621,3562.88,3
2650,HOCK SWEE HILL,70 BEGONIA DRIVE,3900000,1098,2021-09-17,2019,Resale,28,2021,1,Freehold,1,SENGKANG GREEN PRIMARY SCHOOL,1.638958248,YIO CHU KANG MRT STATION,1.948226686,3551.04,2
2651,FRANKEL ESTATE,82 DUNBAR WALK,6890000,1572,2021-09-17,2021,Resale,15,2021,1,Freehold,1,TAO NAN SCHOOL,1.156076878,MARINE TERRACE MRT STATION,0.799832275,4384.18,2
2652,SERANGOON GARDEN ESTATE,65 CROWHURST DRIVE,6480000,1542,2021-09-17,2022,Resale,19,2021,1,999-yr,1,ROSYTH SCHOOL,1.757862349,LORONG CHUAN MRT STATION,1.344162973,4202.27,2
2653,N.A.,60E GARLICK AVENUE,3000000,1573,2021-09-17,2021,Resale,10,2021,1,99-yr,188,HENRY PARK PRIMARY SCHOOL,1.339577827,SIXTH AVENUE MRT STATION,0.800742159,1907.38,2
2654,HILLSGROVE,5E HILLSIDE DRIVE,2600000,544,2021-09-17,2013,Resale,19,2021,1,999-yr,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.955798526,KOVAN MRT STATION,0.8611604,4779.22,1
2655,MING TECK PARK,67 MING TECK PARK,7000000,2086,2021-09-20,2020,Resale,10,2021,1,999-yr,1,HENRY PARK PRIMARY SCHOOL,0.420701051,HOLLAND VILLAGE MRT STATION,1.26007471,3356.22,1
2656,N.A.,26 JALAN BAIDURI,3800000,1765,2021-09-20,2021,Resale,15,2021,1,Freehold,188,TAO NAN SCHOOL,0.680756302,MARINE TERRACE MRT STATION,0.586833043,2152.8,1
2657,N.A.,37 LORONG N TELOK KURAU,5850000,1277,2021-09-20,2021,Resale,15,2021,1,Freehold,188,TAO NAN SCHOOL,0.519966452,MARINE TERRACE MRT STATION,0.605952472,4581.16,1
2658,N.A.,5A LUCKY HEIGHTS,6000000,1191,2021-09-20,2021,Resale,16,2021,1,Freehold,188,TEMASEK PRIMARY SCHOOL,0.727323651,BAYSHORE MRT STATION,0.431028502,5038.63,1
2659,WHITLEY VILLAS,115C WHITLEY ROAD,3330000,1150,2021-09-20,2009,Resale,11,2021,1,Freehold,1,CHIJ PRIMARY (TOA PAYOH),0.830086103,MOUNT PLEASANT MRT STATION,0.345247604,2895.52,1
2660,SERANGOON GARDEN ESTATE,2 YORK PLACE,5700000,1809,2021-09-20,2022,New Sale,19,2021,1,999-yr,1,ROSYTH SCHOOL,1.219177087,LORONG CHUAN MRT STATION,1.777395033,3151.7,2
2661,HONG KONG PARK,14 HUA GUAN AVENUE,7750000,1636,2021-09-21,2017,Resale,21,2021,1,999-yr,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.034554549,KING ALBERT PARK MRT STATION,0.327458234,4736.16,2
2662,ESTRIVILLAS,55J JALAN LIM TAI SEE,3700000,678,2021-09-21,2013,Resale,10,2021,1,Freehold,1,HENRY PARK PRIMARY SCHOOL,1.101329994,HOLLAND VILLAGE MRT STATION,1.120322597,5457.35,2
2663,GOLDILL GARDENS,41 GOLDHILL AVENUE,10000000,2104,2021-09-21,,Resale,11,2021,1,Freehold,1,ANGLO-CHINESE SCHOOL (PRIMARY),0.325119145,STEVENS MRT STATION,0.799361271,4752.31,1
2664,N.A.,8 JALAN PERGAM,3100000,786,2021-09-21,2021,Resale,16,2021,1,99-yr,188,CHONGZHENG PRIMARY SCHOOL,1.417551712,UPPER CHANGI MRT STATION,0.086194156,3943.93,2
2665,N.A.,39 JALAN SELAMAT,4020000,1622,2021-09-21,2021,Resale,14,2021,1,Freehold,188,MAHA BODHI SCHOOL,1.634204582,KEMBANGAN MRT STATION,0.473103752,2478.95,2
2666,TANAH MERAH GREEN,19 TANAH MERAH KECHIL RIDGE,2600000,1050,2021-09-22,2000,Resale,16,2021,1,99-yr,1,RED SWASTIKA SCHOOL,1.245029026,TANAH MERAH MRT STATION,0.38969375,2476.8,2
2667,THE WHITLEY RESIDENCES,135C WHITLEY ROAD,5100000,827,2021-09-22,2016,Resale,11,2021,1,Freehold,1,CHIJ PRIMARY (TOA PAYOH),0.845767272,MOUNT PLEASANT MRT STATION,0.439720298,6167.77,1
2668,N.A.,96 NAMLY PLACE,7911000,2200,2021-09-22,2021,Resale,10,2021,1,Freehold,188,RAFFLES GIRLS' PRIMARY SCHOOL,1.192780154,SIXTH AVENUE MRT STATION,0.618245946,3596.25,2
2669,VERDANA VILLAS,3 GRACE WALK,3300000,690,2021-09-22,2013,Resale,19,2021,1,Freehold,1,ROSYTH SCHOOL,1.731129408,LORONG CHUAN MRT STATION,0.922000035,4779.22,2
2670,N.A.,8 LORONG SIGLAP,3600000,1830,2021-09-23,2021,Resale,15,2021,1,Freehold,188,TAO NAN SCHOOL,1.68737977,SIGLAP MRT STATION,0.966908596,1967.66,2
2671,CLYDESCOVE,15 LOYANG PLACE,3950000,1094,2021-09-23,1988,Resale,17,2021,1,999-yr,1,PASIR RIS PRIMARY SCHOOL,0.81554043,PASIR RIS MRT STATION,1.522967179,3610.25,1
2672,HILLCREST PARK,177C HILLCREST ROAD,8300000,2353,2021-09-23,2011,Resale,11,2021,1,Freehold,1,RAFFLES GIRLS' PRIMARY SCHOOL,0.783382308,TAN KAH KEE MRT STATION,1.165011773,3527.36,1
2673,SEMBAWANG STRAITS ESTATE,1076 SEMBAWANG ROAD,3530000,1451,2021-09-23,,Resale,27,2021,1,Freehold,1,WELLINGTON PRIMARY SCHOOL,1.536851823,CANBERRA MRT STATION,1.604543593,2432.66,2
2674,FRANKEL ESTATE,96 DUNBAR WALK,6800000,1356,2021-09-23,2021,Resale,15,2021,1,Freehold,1,TAO NAN SCHOOL,1.120381852,MARINE TERRACE MRT STATION,0.743128388,5016.02,2
2675,FRANKEL ESTATE,8A BOWMONT GARDENS,5200000,2419,2021-09-23,Uncompleted,New Sale,15,2021,1,Freehold,1,TAO NAN SCHOOL,1.345181421,MARINE TERRACE MRT STATION,0.95659481,2149.57,2
2676,N.A.,22 DEDAP ROAD,4488000,1119,2021-09-24,2021,Resale,28,2021,1,999-yr,188,SENGKANG GREEN PRIMARY SCHOOL,1.098446656,YIO CHU KANG MRT STATION,2.504036781,4010.67,2
2677,N.A.,5 HARVEY CLOSE,4100000,1269,2021-09-24,2021,Resale,16,2021,1,Freehold,188,CHONGZHENG PRIMARY SCHOOL,1.168638296,SIMEI MRT STATION,0.313309286,3231.35,2
2678,FRANKEL ESTATE,9 JEDBURGH GARDENS,6150000,2861,2022-06-27,Uncompleted,New Sale,15,2022,1,Freehold,1,TAO NAN SCHOOL,1.371309947,MARINE TERRACE MRT STATION,0.983035683,2149.79,2
2679,N.A.,6 JALAN WARINGIN,4500000,1787,2021-09-24,2021,Resale,14,2021,1,Freehold,188,YU NENG PRIMARY SCHOOL,1.977509043,KEMBANGAN MRT STATION,0.625508437,2517.7,2
2680,FRANKEL ESTATE,1 BOWMONT GARDENS,5100088,1907,2021-09-24,2021,Resale,15,2021,1,Freehold,1,TAO NAN SCHOOL,1.28541864,MARINE TERRACE MRT STATION,0.889478638,2673.78,2
2681,ASTON GREEN,60A PAYA LEBAR CRESCENT,2650000,636,2021-09-24,2012,Resale,19,2021,1,Freehold,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.212511491,BARTLEY MRT STATION,0.755604633,4165.67,1
2682,OPERA ESTATE,9A AIDA STREET,7000000,2334,2021-09-24,Uncompleted,New Sale,15,2021,1,Freehold,1,YU NENG PRIMARY SCHOOL,1.863884036,BEDOK MRT STATION,0.741666276,2999.71,2
2683,N.A.,1A MARLENE AVENUE,4450000,833,2021-09-27,2021,Resale,19,2021,1,Freehold,188,ROSYTH SCHOOL,1.481017373,SERANGOON MRT STATION,1.00944793,5342.17,2
2684,THE RIVERINA,8 RIVERINA VIEW,2300000,1005,2021-09-27,2000,Resale,18,2021,1,99-yr,1,PASIR RIS PRIMARY SCHOOL,2.136874862,PASIR RIS MRT STATION,0.779092137,2288.43,3
2685,HIGHLAND COTTAGES,5 HIGHLAND WALK,4150000,1238,2021-09-27,1989,Resale,19,2021,1,Freehold,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.211073282,KOVAN MRT STATION,0.629634734,3350.83,2
2686,SEMBAWANG SPRINGS ESTATE,49 JALAN SAJAK,3600000,1278,2021-09-27,2021,Resale,27,2021,1,Freehold,1,CHONGFU SCHOOL,1.187500595,CANBERRA MRT STATION,0.539376913,2816.94,2
2687,CHANGI GROVE,24A MARIAM CLOSE,3800000,1133,2021-09-27,1998,Resale,17,2021,1,Freehold,1,PASIR RIS PRIMARY SCHOOL,1.350555461,TAMPINES EAST MRT STATION,1.691643654,3355.14,2
2688,CHWEE CHIAN VIEW,30 CHWEE CHIAN VIEW,5328000,1226,2021-09-27,1991,Resale,5,2021,1,Freehold,1,FAIRFIELD METHODIST SCHOOL (PRIMARY),2.245007793,PASIR PANJANG MRT STATION,0.606150926,4345.43,3
2689,SERANGOON GARDEN ESTATE,12A SERANGOON GARDEN WAY,4200000,1672,2021-09-27,2022,Resale,19,2021,1,999-yr,1,ROSYTH SCHOOL,1.089361352,KOVAN MRT STATION,1.387341794,2512.32,2
2690,SERANGOON GARDEN ESTATE,8A TAVISTOCK AVENUE,4630000,2149,2021-09-27,2022,New Sale,19,2021,1,999-yr,1,ROSYTH SCHOOL,1.444404721,ANG MO KIO MRT STATION,1.488101502,2154.95,2
2691,N.A.,56 LORONG AH SOO,4230000,1491,2021-09-28,2021,Resale,19,2021,1,Freehold,188,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.36911839,BARTLEY MRT STATION,0.88778535,2836.31,1
2692,SHAMROCK PARK,44 NAMLY GARDEN,6300000,1978,2021-09-28,2016,Resale,10,2021,1,Freehold,1,NANYANG PRIMARY SCHOOL,1.363899819,SIXTH AVENUE MRT STATION,0.697803982,3185.07,2
2693,N.A.,45A JALAN DAUD,4180000,1318,2021-09-28,2021,Resale,14,2021,1,Freehold,188,MAHA BODHI SCHOOL,0.877778224,KEMBANGAN MRT STATION,0.701397247,3171.07,1
2694,DUNEARN ESTATE,5 TREVOSE CRESCENT,8000000,1955,2021-09-29,2021,Resale,11,2021,1,Freehold,1,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),0.73121439,STEVENS MRT STATION,0.6015761,4092.47,1
2695,WEST COAST GARDENS,27 WEST COAST WAY,4950000,1023,2021-09-29,2006,Resale,5,2021,1,999-yr,4,NAN HUA PRIMARY SCHOOL,0.678297533,CLEMENTI MRT STATION,1.099677468,4838.42,1
2696,SELETAR HILLS ESTATE,17 JALAN BANGAU,3369000,985,2021-09-29,2020,Resale,28,2021,1,999-yr,1,SENGKANG GREEN PRIMARY SCHOOL,1.097361523,BUANGKOK MRT STATION,2.419733518,3418.65,2
2697,MANDAI GARDEN,111 MENG SUAN ROAD,4280000,1030,2021-09-29,2017,Resale,26,2021,1,999-yr,1,NORTHLAND PRIMARY SCHOOL,3.546581145,SPRINGLEAF MRT STATION,0.770923057,4155.98,3
2698,ONE TREE HILL COLLECTION,70 JALAN ARNAP,8250000,3452,2021-09-29,2021,New Sale,10,2021,1,Freehold,1,ANGLO-CHINESE SCHOOL (JUNIOR),1.942927335,ORCHARD BOULEVARD MRT STATION,0.252240547,2389.61,2
2699,N.A.,72A TAMPINES ROAD,4488888,1476,2021-09-29,2021,Resale,19,2021,1,Freehold,188,HOLY INNOCENTS' PRIMARY SCHOOL,0.861986738,KOVAN MRT STATION,0.49056508,3041.91,1
2700,SERANGOON GARDEN ESTATE,18 BERWICK DRIVE,5338000,2018,2021-09-29,2022,Resale,19,2021,1,999-yr,1,ROSYTH SCHOOL,1.77395418,ANG MO KIO MRT STATION,1.418105477,2645.79,2
2701,N.A.,14 LEITH PARK,4150000,1130,2021-09-30,2021,Resale,19,2021,1,Freehold,188,ROSYTH SCHOOL,1.212875258,KOVAN MRT STATION,1.263920946,3672.68,2
2702,LENTOR VILLAS,95 LENTOR STREET,4500000,1302,2021-09-30,1997,Resale,26,2021,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,2.000956375,LENTOR MRT STATION,0.684836635,3457.4,3
2703,SEMBAWANG HILLS ESTATE,61 NEMESU AVENUE,2850000,1267,2021-09-30,2021,Resale,20,2021,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.792695326,MAYFLOWER MRT STATION,1.109884182,2248.6,1
