,Project.Name,Address,Transacted Price,Price (psf),Date,Completion Year,Type.of.Sale,Postal.District,year,Level,TenureType_Ind,maxLevel,Nearest Sch,Distance_Sch,Nearest Stn,Distance_Stn,Avg area sqf,Dist_Sch_Label
26,N.A.,45 LEEDON PARK,28000000,1476,2019-07-23,2021,Resale,10,2019,1,Freehold,188,NANYANG PRIMARY SCHOOL,1.111887358,HOLLAND VILLAGE MRT STATION,0.67949404,18973.7,2
27,N.A.,22 JALAN TANI,13561370,830,2019-07-25,2021,Resale,19,2019,1,999-yr,188,XINMIN PRIMARY SCHOOL,0.556780015,KOVAN MRT STATION,0.733674258,16338.68,1
28,SERANGOON GARDEN ESTATE,1 CRICHTON CLOSE,3930000,963,2019-07-30,2022,Resale,19,2019,1,999-yr,1,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.409579885,LORONG CHUAN MRT STATION,0.652649316,4079.56,2
29,SERANGOON GARDEN ESTATE,90 FARLEIGH AVENUE,6300000,1510,2019-07-30,2022,Resale,19,2019,1,999-yr,1,ROSYTH SCHOOL,1.497960325,ANG MO KIO MRT STATION,1.504067522,4171.05,2
30,THE COUNTRYSIDE,143 COUNTRYSIDE ROAD,6200000,1026,2019-08-01,1998,Resale,26,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,1.752116091,LENTOR MRT STATION,0.635976484,6041.83,2
31,THE COUNTRYSIDE,143 COUNTRYSIDE ROAD,6660000,1102,2021-03-22,1998,Resale,26,2021,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,1.752116091,LENTOR MRT STATION,0.635976484,6041.83,2
32,FRANKEL ESTATE,57A DUNBAR WALK,7680000,1525,2019-08-02,2021,Resale,15,2019,1,Freehold,1,TAO NAN SCHOOL,1.149426167,KEMBANGAN MRT STATION,0.72671612,5035.4,2
33,LYNWOOD EIGHT,8C LYNWOOD GROVE,3300000,533,2019-08-02,2012,Resale,13,2019,1,Freehold,1,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.015990764,LORONG CHUAN MRT STATION,0.749917111,6189.3,2
34,N.A.,47 WARINGIN WALK,8000000,665,2019-08-02,2021,Resale,14,2019,1,Freehold,188,TAO NAN SCHOOL,1.9383909,KEMBANGAN MRT STATION,0.583381011,12036.3,2
35,N.A.,33 BEECHWOOD GROVE,2845000,464,2019-08-06,2021,Resale,25,2019,1,99-yr,188,ADMIRALTY PRIMARY SCHOOL,3.04600217,MARSILING MRT STATION,0.724693376,6135.48,3
36,SELETAR HILLS ESTATE,7 NIM DRIVE,6500000,1434,2019-08-07,2020,Resale,28,2019,1,999-yr,1,SENGKANG GREEN PRIMARY SCHOOL,1.426928505,YIO CHU KANG MRT STATION,2.371605875,4533.8,2
37,GREEN HILL ESTATE,7 CHESTNUT CLOSE,6000000,1000,2019-08-14,2010,Resale,23,2019,1,Freehold,1,WEST SPRING PRIMARY SCHOOL,2.298332284,CASHEW MRT STATION,0.892833958,5998.78,3
38,N.A.,37 BEECHWOOD GROVE,3400000,554,2019-08-16,2021,Resale,25,2019,1,99-yr,188,ADMIRALTY PRIMARY SCHOOL,3.027325842,MARSILING MRT STATION,0.696087797,6135.48,3
39,N.A.,16 JALAN KAMPONG CHANTEK,13000000,1368,2019-08-19,2021,Resale,21,2019,1,Freehold,188,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.469935308,KING ALBERT PARK MRT STATION,0.58977974,9502.46,2
40,N.A.,31 JALAN KAMPONG CHANTEK,10800000,1096,2019-08-19,2021,Resale,21,2019,1,Freehold,188,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.410577501,KING ALBERT PARK MRT STATION,0.591703305,9852.29,2
41,CALDECOTT HILL ESTATE,4 ANDREW ROAD,10380000,1050,2019-08-23,2001,Resale,11,2019,1,Freehold,1,CHIJ PRIMARY (TOA PAYOH),1.403502486,BUKIT BROWN MRT STATION,0.699192129,9883.5,2
42,N.A.,27 GREENMEAD AVENUE,9480000,1510,2019-08-29,2021,Resale,11,2019,1,Freehold,188,RAFFLES GIRLS' PRIMARY SCHOOL,0.518891523,TAN KAH KEE MRT STATION,0.905718522,6279.72,1
43,HILLCREST PARK,27 GREENMEAD AVENUE,12550000,1998,2021-09-09,2011,Resale,11,2021,1,Freehold,1,RAFFLES GIRLS' PRIMARY SCHOOL,0.518891523,TAN KAH KEE MRT STATION,0.905718522,6279.72,1
44,N.A.,"28,30,32 CHILTERN DRIVE",11950000,866,2019-08-30,2021,Resale,13,2019,1,Freehold,188,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.187871692,LORONG CHUAN MRT STATION,0.367180933,13801.6,2
45,N.A.,18 DALKEITH ROAD,13500000,1353,2019-09-02,2021,Resale,11,2019,1,Freehold,188,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),0.732167674,STEVENS MRT STATION,0.670022788,9980.38,1
46,N.A.,89 KHEAM HOCK ROAD,11600000,2204,2019-09-03,2021,Sub Sale,11,2019,1,Freehold,188,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),1.324931768,BOTANIC GARDENS MRT STATION,0.890374743,5263.6,2
47,HIGH PARK RESIDENCES,59 FERNVALE ROAD,2760000,1009,2019-09-05,2019,Sub Sale,28,2019,1,99-yr,25,SENGKANG GREEN PRIMARY SCHOOL,0.451773837,SENGKANG MRT STATION,2.422643673,2734.06,1
48,N.A.,12 ASTRID HILL,47000000,1742,2019-09-07,2021,Resale,10,2019,1,Freehold,188,HENRY PARK PRIMARY SCHOOL,1.088776844,HOLLAND VILLAGE MRT STATION,0.933097653,26983.2,2
49,N.A.,7 WOLSKEL ROAD,7900000,1205,2019-09-09,2021,Resale,13,2019,1,Freehold,188,MARIS STELLA HIGH SCHOOL,0.889871333,SERANGOON MRT STATION,0.481570454,6554.2,1
50,N.A.,5 CARNATION DRIVE,3850000,1070,2019-09-09,2021,Resale,20,2019,1,Freehold,188,AI TONG SCHOOL,0.712357227,UPPER THOMSON MRT STATION,0.385297094,3598.41,1
51,VENTURA HEIGHTS,69A JALAN LIM TAI SEE,3985000,596,2019-09-10,2011,Resale,10,2019,1,Freehold,1,HENRY PARK PRIMARY SCHOOL,0.973047589,HOLLAND VILLAGE MRT STATION,1.170922028,6684.44,1
52,OPERA ESTATE,12 CARMEN STREET,7200000,1200,2019-09-11,2022,Resale,15,2019,1,Freehold,1,YU NENG PRIMARY SCHOOL,1.96175781,SIGLAP MRT STATION,0.84618204,5999.85,2
53,N.A.,2F SWISS CLUB ROAD,9500000,942,2019-09-16,2021,Resale,11,2019,1,Freehold,188,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.633498988,KING ALBERT PARK MRT STATION,0.748876601,10090.17,2
54,N.A.,36 FLOWER ROAD,18380000,915,2019-09-19,2021,Resale,19,2019,1,999-yr,188,XINMIN PRIMARY SCHOOL,1.191494743,KOVAN MRT STATION,0.68506178,20082.39,2
55,LANDED HOUSING DEVELOPMENT,36 FLOWER ROAD,5380000,1243,2021-07-12,Uncompleted,New Sale,19,2021,1,999-yr,1,XINMIN PRIMARY SCHOOL,1.191494743,KOVAN MRT STATION,0.68506178,4327.13,2
56,WESTLAKE GARDENS,44 WESTLAKE AVENUE,7700000,1093,2019-09-23,2015,Resale,20,2019,1,Freehold,1,CHIJ PRIMARY (TOA PAYOH),1.406107159,MARYMOUNT MRT STATION,0.53159276,7041.81,2
57,N.A.,77 SHELFORD ROAD,8500000,1548,2019-09-25,2021,Resale,11,2019,1,Freehold,188,RAFFLES GIRLS' PRIMARY SCHOOL,0.615106626,TAN KAH KEE MRT STATION,0.327371763,5491.79,1
58,N.A.,5 JALAN SENANDONG,12900000,1432,2019-09-30,2021,Resale,11,2019,1,Freehold,188,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.501220766,KING ALBERT PARK MRT STATION,0.617514719,9006.24,2
59,SEMBAWANG HILLS ESTATE,9 JALAN CHENGAM,4300000,774,2019-10-02,2021,Resale,20,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.323378531,MAYFLOWER MRT STATION,0.522720062,5552.07,1
60,N.A.,5 BELMONT ROAD,18600000,1139,2019-10-02,2021,Resale,10,2019,1,Freehold,188,NANYANG PRIMARY SCHOOL,1.242066552,HOLLAND VILLAGE MRT STATION,0.293854446,16326.84,2
61,N.A.,126 BRANKSOME ROAD,18800000,1244,2019-10-07,2021,Resale,15,2019,1,Freehold,188,KONG HWA SCHOOL,0.885463485,MOUNTBATTEN MRT STATION,0.482564831,15115.89,1
62,TAI HWAN GARDEN,61 TAI HWAN HEIGHTS,4300000,925,2019-10-16,1980,Resale,19,2019,1,Freehold,1,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.212888635,LORONG CHUAN MRT STATION,0.782943193,4646.82,2
63,N.A.,4 CAMBORNE ROAD,19000000,1449,2019-10-17,2021,Resale,11,2019,1,Freehold,188,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),0.818675131,BOTANIC GARDENS MRT STATION,0.569481636,13112.7,1
64,N.A.,80 BELMONT ROAD,34500000,1278,2019-10-21,2021,Resale,10,2019,1,Freehold,188,NANYANG PRIMARY SCHOOL,0.960376777,HOLLAND VILLAGE MRT STATION,0.768035965,27000.42,1
65,N.A.,13 NAROOMA ROAD,13000000,2510,2019-10-21,2021,Resale,11,2019,1,Freehold,188,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),0.835616321,BOTANIC GARDENS MRT STATION,0.670407604,5179.64,1
66,KILBURN ESTATE,6 WILMONAR AVENUE,8480000,1517,2019-10-23,1991,Resale,21,2019,1,999-yr,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.825812483,KING ALBERT PARK MRT STATION,0.222782983,5590.82,1
67,CHANGI GROVE,18 LENGKOK MARIAM,6500000,1038,2019-10-23,1998,Resale,17,2019,1,Freehold,1,PASIR RIS PRIMARY SCHOOL,1.366579143,TAMPINES EAST MRT STATION,1.853075036,6263.57,2
