Project.Name,Address,Transacted Price,Price (psf),Date,Property.Type,Completion Year,Type.of.Sale,Postal.District,year,Level,TenureType_Ind,maxLevel,Nearest Sch,Distance_Sch,Nearest Stn,Distance_Stn,ENBLOC,Avg area sqf,Dist_Sch_Label
SEMBAWANG SPRINGS ESTATE,85 JALAN KEMUNING,2880000,1080,6/12/2019,Semi-Detached House,2021,Resale,27,2019,1,999-yr,1,WELLINGTON PRIMARY SCHOOL,1.057952161,CANBERRA MRT STATION,0.400158695,0,2667.32,2
N.A.,"67,69 ETC JALAN ANGIN LAUT/UPPER CHANGI ROAD",13300000,874,6/12/2019,Semi-Detached House,2021,Resale,16,2019,1,Freehold,188,CHONGZHENG PRIMARY SCHOOL,1.606853717,SIMEI MRT STATION,0.751321624,0,3802.92,2
HOCK SWEE HILL,69 BEGONIA DRIVE,3550000,912,6/12/2019,Semi-Detached House,2019,Resale,28,2019,1,Freehold,1,SENGKANG GREEN PRIMARY SCHOOL,1.484451853,YIO CHU KANG MRT STATION,2.121213794,0,3892.26,2
LA SUISSE,42 SWISS VIEW,3300000,1765,6/12/2019,Terrace House,1993,Resale,11,2019,1,999-yr,7,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.971928291,KING ALBERT PARK MRT STATION,1.571655365,0,1869.71,2
VILLA VERDE,62 VERDE AVENUE,1480000,917,6/12/2019,Terrace House,2000,Resale,23,2019,1,99-yr,1,SOUTH VIEW PRIMARY SCHOOL,1.164243318,YEW TEE MRT STATION,0.796643815,0,1614.6,2
N.A.,138 CARPMAEL ROAD,3500000,1233,6/12/2019,Terrace House,2021,Resale,15,2019,1,Freehold,188,KONG HWA SCHOOL,1.315513452,MARINE PARADE MRT STATION,0.983858559,0,2839.54,2
N.A.,7 DAISY ROAD,2700000,1335,6/12/2019,Terrace House,2021,Resale,13,2019,1,Freehold,188,MARIS STELLA HIGH SCHOOL,1.183511843,WOODLEIGH MRT STATION,0.657174292,0,2022.56,2
THE SPRINGSIDE,132 SPRINGSIDE AVENUE,2520000,1471,6/12/2019,Terrace House,2016,Resale,26,2019,1,Freehold,1,NORTHLAND PRIMARY SCHOOL,2.755918923,SPRINGLEAF MRT STATION,0.917488379,0,1713.63,3
N.A.,8 JALAN SEGAM,1380000,359,6/12/2019,Semi-Detached House,2021,Resale,16,2019,1,99-yr,188,CHONGZHENG PRIMARY SCHOOL,1.084060482,UPPER CHANGI MRT STATION,0.590039921,0,3847.05,2
PRINCETON VALE,13 POH HUAT TERRACE,1800000,725,8/12/2019,Semi-Detached House,2001,Resale,19,2019,1,99-yr,1,XINMIN PRIMARY SCHOOL,0.634148181,KOVAN MRT STATION,1.027085695,0,2481.1,1
N.A.,21C JALAN ULU SIGLAP,2250000,768,9/12/2019,Terrace House,2021,Resale,15,2019,1,Freehold,188,TEMASEK PRIMARY SCHOOL,2.047152853,SIGLAP MRT STATION,0.615819251,0,2927.81,3
THE GREENWOOD,197 GREENWOOD AVENUE,2750000,919,9/12/2019,Terrace House,2011,Resale,11,2019,1,99-yr,1,RAFFLES GIRLS' PRIMARY SCHOOL,0.947653879,SIXTH AVENUE MRT STATION,1.200649404,0,2992.39,1
SELETAR HILLS ESTATE,27 JALAN KECHUBONG,3650000,1172,9/12/2019,Semi-Detached House,2020,Resale,28,2019,1,Freehold,1,SENGKANG GREEN PRIMARY SCHOOL,0.90615323,BUANGKOK MRT STATION,1.797720043,0,3114.03,1
VALVISTA,16 CHUAN VIEW,2100000,1145,9/12/2019,Terrace House,2004,Resale,19,2019,1,99-yr,1,ROSYTH SCHOOL,1.510718619,LORONG CHUAN MRT STATION,1.162653979,0,1834.19,2
SERANGOON GARDEN ESTATE,25 CARDIFF GROVE,1800000,978,9/12/2019,Terrace House,2022,Resale,19,2019,1,999-yr,1,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.661382979,LORONG CHUAN MRT STATION,0.850991948,0,1839.57,2
BLAIR PLAIN CONSERVATION AREA,29 EVERTON ROAD,4650000,3591,9/12/2019,Terrace House,,Resale,2,2019,1,Freehold,1,RADIN MAS PRIMARY SCHOOL,1.518370791,CANTONMENT MRT STATION,0.403778561,0,1294.91,2
SERANGOON GARDEN ESTATE,49 BROCKHAMPTON DRIVE,3030000,1082,9/12/2019,Semi-Detached House,2022,Resale,19,2019,1,999-yr,1,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.431552303,LORONG CHUAN MRT STATION,1.097942426,0,2799.72,2
SERANGOON GARDEN ESTATE,33 JALAN CHULEK,1320000,546,9/12/2019,Terrace House,2022,Resale,19,2019,1,99-yr,1,ROSYTH SCHOOL,1.12994134,LORONG CHUAN MRT STATION,1.652909637,0,2418.67,2
SENNETT ESTATE,96 BUTTERFLY AVENUE,2538000,1374,10/12/2019,Terrace House,2016,Resale,13,2019,1,Freehold,1,MARIS STELLA HIGH SCHOOL,0.869754103,WOODLEIGH MRT STATION,0.77161407,0,1847.1,1
THE RIVERINA,49 RIVERINA CRESCENT,1835000,848,10/12/2019,Terrace House,2000,Resale,18,2019,1,99-yr,1,PASIR RIS PRIMARY SCHOOL,2.067324613,PASIR RIS MRT STATION,0.865116699,0,2163.56,3
SERANGOON GARDEN ESTATE,11 HYTHE ROAD,3400000,917,10/12/2019,Terrace House,2022,Resale,19,2019,1,999-yr,1,ROSYTH SCHOOL,1.09257919,LORONG CHUAN MRT STATION,1.726339665,0,3707.12,2
NIM COLLECTION,33 NIM TERRACE,2878000,1782,10/12/2019,Terrace House,2019,New Sale,28,2019,1,99-yr,1,ROSYTH SCHOOL,1.468002642,ANG MO KIO MRT STATION,1.896192408,0,1614.6,2
N.A.,3 CAMBORNE ROAD,23300000,1550,10/12/2019,Detached House,2021,Resale,11,2019,1,Freehold,188,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),0.868550537,BOTANIC GARDENS MRT STATION,0.528406449,0,15029.77,1
N.A.,24 JALAN KESOMA,2550000,1264,10/12/2019,Terrace House,2021,Resale,19,2019,1,Freehold,188,MARIS STELLA HIGH SCHOOL,0.46467569,BARTLEY MRT STATION,0.427155152,0,2017.17,1
BEDOKVILLE,48 JALAN LIMAU MANIS,3300000,946,10/12/2019,Semi-Detached House,2020,Resale,16,2019,1,999-yr,1,TEMASEK PRIMARY SCHOOL,0.754377292,TANAH MERAH MRT STATION,0.418550694,0,3489.69,1
N.A.,278 UPPER THOMSON ROAD,2140000,1386,10/12/2019,Terrace House,2021,Resale,20,2019,1,Freehold,188,AI TONG SCHOOL,0.612961385,UPPER THOMSON MRT STATION,0.080040764,0,1543.56,1
N.A.,16 GREENVIEW CRESCENT,7100000,2375,11/12/2019,Semi-Detached House,2021,Resale,11,2019,1,Freehold,188,RAFFLES GIRLS' PRIMARY SCHOOL,0.526441848,TAN KAH KEE MRT STATION,0.922503591,0,2989.16,1
N.A.,2 RAMBAI ROAD,3850000,1265,11/12/2019,Semi-Detached House,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.012259215,EUNOS MRT STATION,0.933894676,0,3042.98,2
N.A.,25 JALAN TARI DULANG,2339999,1114,11/12/2019,Terrace House,2021,Resale,28,2019,1,999-yr,188,SENGKANG GREEN PRIMARY SCHOOL,0.900026131,SENGKANG MRT STATION,2.885999212,0,2100.06,1
N.A.,18 SIMON LANE,2300000,1437,11/12/2019,Terrace House,2021,Resale,19,2019,1,Freehold,188,XINMIN PRIMARY SCHOOL,0.85101832,KOVAN MRT STATION,0.410616311,0,1600.61,1
N.A.,33A LORONG MELAYU,2550000,1273,11/12/2019,Terrace House,2021,Resale,14,2019,1,Freehold,188,MAHA BODHI SCHOOL,1.274649916,KEMBANGAN MRT STATION,0.312519406,0,2003.18,2
N.A.,20 ONE TREE HILL,13000000,2437,11/12/2019,Detached House,2021,Resale,10,2019,1,Freehold,188,ANGLO-CHINESE SCHOOL (JUNIOR),1.841728031,ORCHARD BOULEVARD MRT STATION,0.315709205,0,5333.56,2
SENNETT ESTATE,2D BELIMBING AVENUE,2850000,1171,11/12/2019,Terrace House,2016,Resale,13,2019,1,Freehold,1,MARIS STELLA HIGH SCHOOL,1.20274953,POTONG PASIR MRT STATION,0.684643518,0,2434.82,2
N.A.,14A STILL LANE,3180000,1800,12/12/2019,Terrace House,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,0.659334913,MARINE TERRACE MRT STATION,0.819597885,0,1766.37,1
BURGUNDY HILL,14 BURGUNDY CRESCENT,1984000,899,12/12/2019,Semi-Detached House,1999,Resale,23,2019,1,99-yr,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.653917559,BEAUTY WORLD MRT STATION,1.623166917,0,2206.62,2
SUNRISE VILLA,32 SUNRISE TERRACE,2210000,1318,13/12/2019,Terrace House,2008,Resale,28,2019,1,Freehold,1,SENGKANG GREEN PRIMARY SCHOOL,2.132942366,YIO CHU KANG MRT STATION,1.485160788,0,1677.03,3
FRANKEL ESTATE,29 ETTRICK TERRACE,5400000,1640,13/12/2019,Semi-Detached House,2021,Resale,15,2019,1,Freehold,1,TAO NAN SCHOOL,1.49780221,SIGLAP MRT STATION,0.934918344,0,3292.71,2
SELETAR HILLS ESTATE,14 JALAN KERUING,2050000,949,13/12/2019,Terrace House,2020,Resale,28,2019,1,Freehold,1,SENGKANG GREEN PRIMARY SCHOOL,0.929184566,BUANGKOK MRT STATION,2.246447142,0,2160.33,1
SELETAR HILLS ESTATE,14 JALAN KERUING,4100000,1898,5/8/2021,Terrace House,2020,Resale,28,2021,1,Freehold,1,SENGKANG GREEN PRIMARY SCHOOL,0.929184566,BUANGKOK MRT STATION,2.246447142,0,2160.33,1
N.A.,34 JALAN DERMAWAN,3500000,1106,13/12/2019,Terrace House,2021,Resale,23,2019,1,Freehold,188,SAINT ANTHONY'S PRIMARY SCHOOL,1.408314969,HILLVIEW MRT STATION,0.775623842,0,3163.54,2
THOMSON GARDEN ESTATE,26 JALAN HARI RAYA,2200000,1826,13/12/2019,Terrace House,2009,Resale,20,2019,1,Freehold,1,CATHOLIC HIGH SCHOOL,0.761312863,UPPER THOMSON MRT STATION,0.581266897,0,1204.49,1
LIRIA TERRACE,27 MARIAM WALK,2232000,1382,16/12/2019,Terrace House,1997,Resale,17,2019,1,Freehold,1,PASIR RIS PRIMARY SCHOOL,1.498265652,TAMPINES EAST MRT STATION,1.587965057,0,1614.6,2
OPERA ESTATE,34 RIENZI STREET,1988000,1427,16/12/2019,Terrace House,2022,Resale,15,2019,1,Freehold,1,YU NENG PRIMARY SCHOOL,1.69583811,BEDOK MRT STATION,0.678514578,0,1392.86,2
TAI KENG GARDENS,75 TAI KENG GARDENS,2650000,1007,16/12/2019,Terrace House,2009,Resale,19,2019,1,Freehold,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.11269295,BARTLEY MRT STATION,0.948518808,0,2632.87,1
N.A.,21 JALAN SENANG,7200000,1440,16/12/2019,Detached House,2021,Resale,14,2019,1,Freehold,188,MAHA BODHI SCHOOL,1.763322379,KEMBANGAN MRT STATION,0.44543135,0,4999.88,2
SERANGOON GARDEN ESTATE,9 WORTHING ROAD,3970000,1837,16/12/2019,Semi-Detached House,2022,Resale,19,2019,1,999-yr,1,ROSYTH SCHOOL,1.045663208,LORONG CHUAN MRT STATION,1.736577174,0,2161.41,2
PAVILION PARK,62 PAVILION PLACE,2626000,1626,17/12/2019,Terrace House,2014,Resale,23,2019,1,Freehold,1,SAINT ANTHONY'S PRIMARY SCHOOL,0.748642197,BUKIT GOMBAK MRT STATION,1.223156926,0,1614.6,1
N.A.,344 ONAN ROAD,3180000,1730,17/12/2019,Terrace House,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,0.986053913,MARINE PARADE MRT STATION,0.564579162,0,1838.49,1
VILLA VERDE,32 VERDE VIEW,1550000,960,18/12/2019,Terrace House,2000,Resale,23,2019,1,99-yr,1,SOUTH VIEW PRIMARY SCHOOL,1.324367706,YEW TEE MRT STATION,0.804215016,0,1614.6,2
PLATINA GARDENS,30A PLATINA ROAD,2400000,1384,18/12/2019,Terrace House,2013,Resale,27,2019,1,Freehold,1,NORTHLAND PRIMARY SCHOOL,1.973965966,YISHUN MRT STATION,1.16287748,0,1734.08,2
N.A.,34 LORONG 105 CHANGI,3500000,1728,18/12/2019,Terrace House,2021,Resale,15,2019,1,Freehold,188,MAHA BODHI SCHOOL,1.405985845,EUNOS MRT STATION,0.44229169,0,2025.78,2
N.A.,34 LORONG 105 CHANGI,4448000,2196,3/1/2022,Terrace House,2021,Resale,15,2022,1,Freehold,188,MAHA BODHI SCHOOL,1.405985845,EUNOS MRT STATION,0.44229169,0,2025.78,2
KINGSFORD WATERBAY,56 UPPER SERANGOON VIEW,1930000,1187,18/12/2019,Terrace House,2018,Sub Sale,19,2019,1,99-yr,16,CHIJ OUR LADY OF THE NATIVITY,0.548963912,HOUGANG MRT STATION,1.148441453,0,1625.36,1
N.A.,88A PHOENIX GARDEN,3750000,1137,18/12/2019,Semi-Detached House,2021,Resale,23,2019,1,Freehold,188,SOUTH VIEW PRIMARY SCHOOL,1.523728447,BUKIT PANJANG MRT STATION,0.463016601,0,3297.01,2
N.A.,66 CARPMAEL ROAD,2000000,2912,18/12/2019,Terrace House,2021,Resale,15,2019,1,Freehold,188,KONG HWA SCHOOL,1.140517961,PAYA LEBAR MRT STATION,0.869726487,0,686.74,2
N.A.,24 JALAN ARNAP,7000000,2226,18/12/2019,Semi-Detached House,2021,Resale,10,2019,1,Freehold,188,ANGLO-CHINESE SCHOOL (JUNIOR),1.686496363,ORCHARD MRT STATION,0.413720106,0,3145.24,2
HILLSGROVE,5C HILLSIDE DRIVE,2600000,572,18/12/2019,Semi-Detached House,2013,Resale,19,2019,1,999-yr,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.955126789,KOVAN MRT STATION,0.839306359,0,4542.41,1
HAZEL PARK TERRACE,95 HAZEL PARK TERRACE,3398000,1670,19/12/2019,Terrace House,1995,Resale,23,2019,1,999-yr,1,WEST SPRING PRIMARY SCHOOL,1.869207233,CASHEW MRT STATION,0.384648077,0,2034.4,2
N.A.,127 TELOK KURAU ROAD,4450000,1846,19/12/2019,Terrace House,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.10152426,KEMBANGAN MRT STATION,0.737906042,0,2410.06,2
SENNETT ESTATE,36 PUAY HEE AVENUE,3930000,1327,19/12/2019,Terrace House,2016,Resale,13,2019,1,Freehold,1,MARIS STELLA HIGH SCHOOL,1.343708321,POTONG PASIR MRT STATION,0.326432275,0,2961.18,2
N.A.,150 JOO CHIAT TERRACE,1900000,1003,19/12/2019,Terrace House,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.342387831,EUNOS MRT STATION,0.569550608,0,1894.46,2
THE SPRINGSIDE,120 SPRINGSIDE AVENUE,4000000,979,19/12/2019,Terrace House,2016,Resale,26,2019,1,Freehold,1,NORTHLAND PRIMARY SCHOOL,2.793677275,SPRINGLEAF MRT STATION,0.875112801,0,4084.94,3
N.A.,26 JALAN CHEMPAKA KUNING,330000,140,19/12/2019,Terrace House,2021,Resale,16,2019,1,99-yr,188,TEMASEK PRIMARY SCHOOL,1.496770754,TANAH MERAH MRT STATION,0.570723079,0,2354.09,2
PAYA LEBAR GARDENS,222 UPPER PAYA LEBAR ROAD,1965000,1228,19/12/2019,Terrace House,1994,Resale,19,2019,1,Freehold,1,MARIS STELLA HIGH SCHOOL,0.65654598,BARTLEY MRT STATION,0.472821135,0,1599.53,1
BANYAN PARK,20 CHWEE CHIAN ROAD,3350000,1505,20/12/2019,Terrace House,1998,Resale,5,2019,1,Freehold,1,FAIRFIELD METHODIST SCHOOL (PRIMARY),2.427863379,PASIR PANJANG MRT STATION,0.387186749,0,2226,3
BINJAI CREST,261 JALAN KAMPONG CHANTEK,2100000,556,20/12/2019,Terrace House,2004,Resale,21,2019,1,99-yr,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.542987115,KING ALBERT PARK MRT STATION,1.102358945,0,3778.16,2
SERANGOON GARDEN ESTATE,26 BODMIN DRIVE,4000000,1429,20/12/2019,Terrace House,2022,Resale,19,2019,1,999-yr,1,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.613580125,LORONG CHUAN MRT STATION,1.111581904,0,2799.72,2
TEACHER'S HOUSING ESTATE,124 TAGORE AVENUE,2160000,1198,20/12/2019,Terrace House,2011,Resale,26,2019,1,999-yr,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.92017181,LENTOR MRT STATION,0.986343622,0,1802.97,1
N.A.,2 DUNSFOLD DRIVE,7500000,1609,20/12/2019,Detached House,2021,Sub Sale,13,2019,1,Freehold,188,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,0.945468069,LORONG CHUAN MRT STATION,0.887832832,0,4661.89,1
LUXUS HILLS,75 SELETAR GREEN WALK,2770000,1700,20/12/2019,Terrace House,2020,Resale,28,2019,1,999-yr,1,ROSYTH SCHOOL,0.838036403,BUANGKOK MRT STATION,1.937700088,0,1629.67,1
WOODLANDS PARK,46 JALAN GELEGAR,3400000,524,20/12/2019,Semi-Detached House,2010,Resale,25,2019,1,Freehold,1,WEST SPRING PRIMARY SCHOOL,3.094788509,KRANJI MRT STATION,0.989559293,0,6486.39,3
PEAKVIEW ESTATE,39 JALAN PARI DEDAP,3400000,1035,20/12/2019,Semi-Detached House,2012,Resale,16,2019,1,Freehold,1,RED SWASTIKA SCHOOL,0.941096859,TANAH MERAH MRT STATION,0.720255993,0,3284.1,1
SANFORD PARK,5 SIRAT PLACE,2630000,1401,21/12/2019,Terrace House,1990,Resale,19,2019,1,Freehold,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.419301546,SERANGOON MRT STATION,0.907203921,0,1877.24,2
WELLINGTON PARK,51 ELLINGTON SQUARE,2860000,1535,23/12/2019,Terrace House,1985,Resale,20,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.06291865,MAYFLOWER MRT STATION,0.295844854,0,1863.25,1
EUHABITAT,306 JALAN EUNOS,2520000,746,23/12/2019,Terrace House,2015,Resale,14,2019,1,99-yr,5,MAHA BODHI SCHOOL,0.744491825,KAKI BUKIT MRT STATION,0.769821414,0,3379.9,1
SEMBAWANG GARDENS ARCADE,2 JALAN DERUM,3550000,1037,23/12/2019,Semi-Detached House,1966,Resale,27,2019,1,Freehold,1,WELLINGTON PRIMARY SCHOOL,1.160443418,CANBERRA MRT STATION,0.731310121,0,3422.95,2
N.A.,76 HOLLAND GROVE DRIVE,6500000,1782,23/12/2019,Semi-Detached House,2021,Resale,10,2019,1,Freehold,188,HENRY PARK PRIMARY SCHOOL,0.650303037,DOVER MRT STATION,0.288311671,0,3647.92,1
N.A.,43 JALAN TARI SERIMPI,1960000,1222,23/12/2019,Terrace House,2021,Resale,28,2019,1,999-yr,188,SENGKANG GREEN PRIMARY SCHOOL,0.511174338,SENGKANG MRT STATION,2.601976584,0,1603.84,1
VILLA BEGONIA,11 BEGONIA LANE,1665000,1002,23/12/2019,Terrace House,1998,Resale,28,2019,1,99-yr,1,SENGKANG GREEN PRIMARY SCHOOL,1.712619771,YIO CHU KANG MRT STATION,1.889550917,0,1661.96,2
SERANGOON GARDEN ESTATE,15 CARISBROOKE GROVE,3450000,1719,23/12/2019,Terrace House,2022,Resale,19,2019,1,999-yr,1,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.557538627,LORONG CHUAN MRT STATION,0.926241652,0,2007.49,2
N.A.,7 CHEOW KENG ROAD,2500000,1997,23/12/2019,Terrace House,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,0.674088462,MARINE PARADE MRT STATION,0.510035898,0,1251.85,1
N.A.,31 CLUNY HILL,30800000,2025,25/12/2019,Detached House,2021,Resale,10,2019,1,Freehold,188,NANYANG PRIMARY SCHOOL,0.823645474,BOTANIC GARDENS MRT STATION,0.526732295,0,15208.46,1
MANDARIN PARK,67 LORONG PISANG EMAS,4900000,1478,26/12/2019,Semi-Detached House,2011,Resale,21,2019,1,Freehold,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.805882868,BEAUTY WORLD MRT STATION,0.559920334,0,3315.31,1
CABANA,235 SUNRISE TERRACE,1850000,603,26/12/2019,Terrace House,2013,Resale,28,2019,1,99-yr,1,SENGKANG GREEN PRIMARY SCHOOL,2.318174022,YIO CHU KANG MRT STATION,1.301044056,0,3067.74,3
LOYANG VILLAS,38 LOYANG RISE,2060000,518,26/12/2019,Terrace House,1996,Resale,17,2019,1,99-yr,1,PASIR RIS PRIMARY SCHOOL,1.133266355,TAMPINES EAST MRT STATION,1.248300051,0,3974.07,2
OPERA ESTATE,3 JALAN BANGSAWAN,2100000,1252,26/12/2019,Terrace House,2022,Resale,15,2019,1,Freehold,1,YU NENG PRIMARY SCHOOL,1.692728343,BEDOK MRT STATION,0.716117097,0,1677.03,2
OPERA ESTATE,3 JALAN BANGSAWAN,4500000,2683,12/8/2021,Terrace House,2022,Resale,15,2021,1,Freehold,1,YU NENG PRIMARY SCHOOL,1.692728343,BEDOK MRT STATION,0.716117097,0,1677.03,2
LUXUS HILLS,60 LUXUS HILL DRIVE,3038000,1882,27/12/2019,Terrace House,2020,Resale,28,2019,1,999-yr,1,ROSYTH SCHOOL,0.855392399,BUANGKOK MRT STATION,1.987133498,0,1614.6,1
TEACHER'S HOUSING ESTATE,18 TAGORE AVENUE,2620000,1359,27/12/2019,Terrace House,2011,Resale,26,2019,1,999-yr,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.962731925,LENTOR MRT STATION,0.792500502,0,1927.83,1
N.A.,51 CHESTNUT CRESCENT,6300000,933,27/12/2019,Detached House,2021,Resale,23,2019,1,Freehold,188,WEST SPRING PRIMARY SCHOOL,2.108098884,CASHEW MRT STATION,0.875743701,0,6751.18,3
N.A.,86 KEW DRIVE,3000000,646,27/12/2019,Terrace House,2021,Resale,16,2019,1,99-yr,188,TEMASEK PRIMARY SCHOOL,0.629958555,BEDOK SOUTH MRT STATION,0.458794941,0,4641.44,1
MACPHERSON GARDEN ESTATE,27 JALAN SETIA,1680000,1901,27/12/2019,Terrace House,2020,Resale,13,2019,1,Freehold,1,MARIS STELLA HIGH SCHOOL,0.990131474,MATTAR MRT STATION,0.824864291,0,883.72,1
TOH ESTATE,41 TOH DRIVE,4350000,643,27/12/2019,Detached House,2019,Resale,17,2019,1,Freehold,1,PASIR RIS PRIMARY SCHOOL,1.406590994,CHANGI AIRPORT MRT STATION,1.922480971,0,6764.1,2
TOH ESTATE,41 TOH DRIVE,4100000,606,30/6/2020,Detached House,2019,Resale,17,2020,1,Freehold,1,PASIR RIS PRIMARY SCHOOL,1.406590994,CHANGI AIRPORT MRT STATION,1.922480971,0,6764.1,2
HORIZON GARDENS,473 ANG MO KIO AVENUE 2,2250000,632,27/12/2019,Semi-Detached House,2002,Resale,20,2019,1,99-yr,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.418636072,MAYFLOWER MRT STATION,0.707112082,0,3562.88,1
BEDOKVILLE,40 JALAN LIMAU BALI,4780000,1355,27/12/2019,Semi-Detached House,2020,Resale,16,2019,1,Freehold,1,TEMASEK PRIMARY SCHOOL,0.665723874,TANAH MERAH MRT STATION,0.555119856,0,3527.36,1
SEMBAWANG HILLS ESTATE,98 JALAN KURAS,2415000,923,27/12/2019,Terrace House,2021,Resale,20,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.572292959,MAYFLOWER MRT STATION,0.906630471,0,2615.65,1
MOUNT SINAI,2 MOUNT SINAI RISE,6750000,1893,30/12/2019,Semi-Detached House,2010,Resale,10,2019,1,999-yr,1,HENRY PARK PRIMARY SCHOOL,0.452073196,DOVER MRT STATION,0.525952148,0,3566.11,1
N.A.,18 EAST SUSSEX LANE,36882500,1000,30/12/2019,Detached House,2021,Resale,10,2019,1,Freehold,188,HENRY PARK PRIMARY SCHOOL,0.853659373,BUONA VISTA MRT STATION,0.58598613,0,36882.85,1
WINDSOR PARK ESTATE,61 JUPITER ROAD,2500000,1221,30/12/2019,Terrace House,2012,Resale,20,2019,1,Freehold,1,AI TONG SCHOOL,0.947742447,UPPER THOMSON MRT STATION,0.971569179,0,2047.31,1
VILLA VERDE,7 VERDE PLACE,1456000,902,30/12/2019,Terrace House,2000,Resale,23,2019,1,99-yr,1,SOUTH VIEW PRIMARY SCHOOL,1.283562892,YEW TEE MRT STATION,0.835301697,0,1614.6,2
WATTEN RESIDENCES,32H WATTEN RISE,3800000,949,30/12/2019,Semi-Detached House,2011,Resale,11,2019,1,Freehold,1,RAFFLES GIRLS' PRIMARY SCHOOL,0.301975527,TAN KAH KEE MRT STATION,0.33557938,0,4004.21,1
SERANGOON GARDEN ESTATE,55 HYTHE ROAD,4550000,1691,30/12/2019,Terrace House,2022,Resale,19,2019,1,999-yr,1,ROSYTH SCHOOL,0.946749043,ANG MO KIO MRT STATION,1.967583579,0,2689.92,1
BURGUNDY HILL,20 BURGUNDY CRESCENT,1850000,841,30/12/2019,Semi-Detached House,1999,Resale,23,2019,1,99-yr,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.701915985,BUKIT BATOK MRT STATION,1.647276422,0,2200.16,2
HENLEY GARDENS,41 JALAN ARIF,1800000,783,30/12/2019,Terrace House,2002,Resale,19,2019,1,99-yr,1,XINMIN PRIMARY SCHOOL,0.394225251,KOVAN MRT STATION,0.866853571,0,2299.19,1
PHOENIX HEIGHTS,36 PHOENIX GARDEN,2680000,1488,30/12/2019,Terrace House,1980,Resale,23,2019,1,Freehold,1,SOUTH VIEW PRIMARY SCHOOL,1.568965061,BUKIT PANJANG MRT STATION,0.355488865,0,1800.82,2
N.A.,197 JOO CHIAT PLACE,3420000,2141,31/12/2019,Terrace House,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.236032691,EUNOS MRT STATION,0.641985978,0,1597.38,2
SHANGRI-LA PARK,49 SHANGRI-LA WALK,5500000,911,31/12/2019,Detached House,2016,Resale,20,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.389661548,MAYFLOWER MRT STATION,0.366843011,0,6037.53,1
BINJAI CREST,121 JALAN KAMPONG CHANTEK,2125000,589,2/1/2020,Terrace House,2004,Resale,21,2020,1,99-yr,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.479481876,KING ALBERT PARK MRT STATION,1.029006901,0,3605.94,2
SELETAR GARDEN,96 CACTUS ROAD,2350000,1118,2/1/2020,Terrace House,2018,Resale,28,2020,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,2.610776726,YIO CHU KANG MRT STATION,1.131933804,0,2102.21,3
PAVILION PARK,40 PAVILION PLACE,2650000,1641,2/1/2020,Terrace House,2014,Resale,23,2020,1,Freehold,1,SAINT ANTHONY'S PRIMARY SCHOOL,0.708675206,BUKIT GOMBAK MRT STATION,1.214934554,0,1614.6,1
SELETAR HILLS ESTATE,9 JALAN LEKUB,2858000,871,2/1/2020,Semi-Detached House,2020,Resale,28,2020,1,999-yr,1,SENGKANG GREEN PRIMARY SCHOOL,1.156490941,BUANGKOK MRT STATION,2.489536112,0,3283.02,2
KILBURN ESTATE,3 WILMONAR AVENUE,9300000,1658,2/1/2020,Detached House,1991,Resale,21,2020,1,999-yr,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.843665388,KING ALBERT PARK MRT STATION,0.188785514,0,5608.04,1
